Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,Yes,Yes,BP,"The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. This solution measures one’s general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. Potential job titles that use this solution are: Material Handler, Shipping Operator, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,",Approximate Completion Time in minutes = 21,"['Workplace Safety', 'Entry-Level', 'Material Handler', 'Shipping Operator', 'Driver', 'Forklift Operator', 'Crewman', 'Mechanic', 'Receiver', 'Personality Traits', 'Situational Judgment', 'Biodata', 'Safety-Related']"
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,Yes,,K,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 12,"['Instrumentation Engineering', 'Electronics', 'Signals', 'Communication Systems', 'Conceptual Knowledge', 'Multiple Choice']"
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,Yes,Yes,K,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 15 to 35,"['interpersonal communication', 'verbal communication', 'nonverbal communication', 'listening skills', 'conflict management', 'group communication', 'teamwork', 'intercultural communication', 'interviewing skills', 'intrapersonal communication', 'communication and perception', 'technology in communication', 'language skills', 'communication skills', 'all professionals', 'adaptive test']"
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,K,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.","Front Line Manager, Manager,",Approximate Completion Time in minutes = 15 to 35,"['Interviewing', 'Hiring', 'Behavioral Interviewing', 'Candidate Fit', 'Interview Quality Control', 'Job Analysis', 'Legal Compliance', 'Probing Skills', 'Screening', 'Situational Interviews', 'Human Resources', 'HR', 'Recruiting', 'Hiring Manager', 'Behavior Traits', 'U.S. Specific', 'Compliance']"
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,Yes,,K,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,"['iOS Development', 'Objective-C', 'NSObject', 'iOS Fundamentals', 'UI Design', 'Mobile Development', 'iOS', 'Multi-choice', 'Entry-Level', 'Software Engineer']"
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,,K,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 8,"['ITIL', 'IT Infrastructure Library', 'Capacity Management', 'Change Management', 'Problem Management', 'Multiple Choice', 'IT Service Management', 'ITSM', 'Knowledge Assessment']"
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,K,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development.","Entry-Level, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 30,"['Java 2 Platform Enterprise Edition 1.4', 'J2EE 1.4', 'J2EE Architecture', 'Business Component Development', 'JAX 1.2', 'JDBC 3.0', 'Web Component Development', 'Web Service Development', 'Entry-level', 'Java', 'Backend Development']"
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,,K,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 18,"['Java 8', 'Java', 'Class Design', 'Exceptions', 'Generics', 'Collections', 'Concurrency', 'JDBC', 'Java I/O', 'Multi-choice', 'Fundamentals', 'Backend Developer']"
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,,K,Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,"['Java', 'Design Patterns', 'Object-Oriented Programming', 'Threads', 'Refactoring', 'Multi-Choice', 'Software Engineering', 'Backend Development', 'Java Design Principles']"
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,Yes,,K,"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 17,"['Java', 'Java Frameworks', 'Struts', 'Hibernate', 'Spring', 'Multi-choice', 'Backend Developer', 'Mid-level Developer', 'Senior Developer']"
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,K,"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 30,"['Java EE 7', 'Java Platform Enterprise Edition 7', 'Java programmer', 'Java architect', 'Commonly-Used APIs', 'Component Technology', 'Database Access', 'JEE Application Architecture', 'JSP Extensions', 'Resource Management', 'Web Services', 'Webapp Control and View Technologies', 'Webapp Technology', 'backend developer', 'mid-level', 'senior developer']"
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,Yes,,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['Java', 'Web Services', 'OOP', 'Object-Oriented Programming', 'File Handling', 'Exception Handling', 'Threads', 'Generics', 'Inner Classes', 'Multi-choice', 'Technical Skills']"
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Yes,,K,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['JavaScript', 'Front-end Development', 'Programming', 'Multi-choice', 'Fundamentals']"
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,Yes,,K,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,"['Jenkins', 'Continuous Integration', 'Continuous Delivery', 'CI/CD', 'Deployment', 'Plugins', 'Nodes', 'Build Jobs', 'Testing', 'Configuration', 'Multi-choice', 'Software Engineering', 'DevOps']"
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,Yes,,K,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Job Control Language', 'JCL', 'JCL Libraries', 'JCL Parameters', 'JCL Statements', 'JCL Datasets', 'Data Groups', 'Conditional Processing', 'Multi-choice', 'Technical Knowledge']"
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,Yes,,K,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['jQuery', 'JavaScript', 'jQuery events', 'jQuery effects', 'jQuery animation', 'jQuery UI', 'AJAX', 'front-end development', 'multi-choice', 'HTML', 'CSS']"
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,Yes,,K,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,"['Kubernetes', 'container orchestration', 'cluster management', 'microservices', 'architecture', 'services', 'multiple-choice question', 'technical knowledge']"
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,Yes,,K,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Linux', 'System Administration', 'Network Administration', 'Operating System', 'Multi-choice', 'Knowledge Assessment']"
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,Yes,,K,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.","Entry-Level, General Population, Graduate, Professional Individual Contributor,",Approximate Completion Time in minutes = 15,"['Linux', 'Operating System', 'Command Line', 'Filesystem', 'Memory Management', 'Process Management', 'System Administration', 'Multi-choice', 'Technical Skills']"
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,Yes,Yes,K,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 25,"['Linux Programming', 'C Programming', 'C++', 'AutoConf', 'AutoMake', 'Makefiles', 'Debugging', 'Platform Independence', 'Revision Control', 'RPC', 'CORBA', 'X Programming', 'Experienced Programmers', 'Backend Developer']"
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,Yes,,K,"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,"['LoadRunner', 'Performance Testing', 'VUGEN', 'Controller', 'Scenario Monitoring', 'Result Analysis', 'Architecture', 'Installation', 'Multi-choice', 'Software Testing', 'Performance Engineer']"
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,Yes,,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = Untimed,"['managerial judgement', 'decision-making', 'situational judgement', 'management skills', 'managing objectives', 'people management', 'reputation management', 'leadership', 'big picture thinking', 'delegation', 'one-to-one communication', 'teamwork', 'personal recognition', 'company protocol', 'scenario-based', 'hypothetical scenarios', 'recruitment', 'selection', 'training', 'development', 'performance management', 'coaching', 'mid-level', 'senior-level', 'norm-referenced']"
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",,"['Managerial Judgement', 'Decision-Making', 'Scenario-Based Assessment', 'Management Skills', 'Managing Objectives', 'People Management', 'Reputation Management', 'Leadership', 'Situational Judgement', 'Hypothetical Scenarios', 'Effectiveness Rating', 'Recruitment', 'Selection', 'Training and Development', 'Performance Management', 'Coaching', 'Mid-Level Management', 'Senior Management', 'Norm-Referenced', 'T-Scores', 'Percentiles', 'Stens', 'Grades', 'Big Picture Thinking', 'Delegation', 'One-to-One Communication', 'Teamwork', 'Personal Recognition', 'Company Protocol']"
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",,"['Managerial Judgement', 'Management Skills', 'Scenario-based assessment', 'Situational Judgement Test', 'Recruitment', 'Selection', 'Training', 'Development', 'Performance Management', 'Coaching', 'Leadership assessment', 'Managing Objectives', 'People Management', 'Reputation Management', 'Big picture thinking', 'Delegation', 'One-to-one communication', 'Teamwork', 'Personal recognition', 'Company Protocol', 'Managerial Roles', 'Norm-referenced', 'T-scores', 'Percentiles', 'Stens', 'Grades']"
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",,"['managerial judgement', 'decision-making', 'scenario-based', 'situational judgement', 'management skills', 'people management', 'reputation management', 'managing objectives', 'big picture thinking', 'delegation', 'one-to-one communication', 'team management', 'personal recognition', 'company protocol', 'leadership assessment', 'recruitment', 'selection', 'training', 'development', 'performance management', 'coaching', 'hypothetical scenarios', 'effectiveness rating', '6-point scale', 'managerial roles', 'narrative report', 'candidate report', 'profile report', 'norm-referenced', 'T-scores', 'percentiles', 'stens', 'grades']"
Verify - G+,https://www.shl.com/solutions/products/product-catalog/view/verify-g/,Yes,Yes,A,"The G+ test is part of the Verify suite of cognitive ability tests. The test is designed to measure three types of ability: Numerical, Deductive, and Inductive. There are 30 questions in the test, with 10 questions for each of the three abilities measured. Sample tasks for jobs that may require these abilities include, but are not limited to: evaluating arguments, analyzing scenarios, working with data, doing mathematical computations, interpreting graphs and tables, and drawing logical conclusions. The G+ test, due to its adaptive nature, is appropriate for all job levels and roles.","General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager,",Approximate Completion Time in minutes = 36,"['cognitive ability', 'numerical reasoning', 'deductive reasoning', 'inductive reasoning', 'data analysis', 'logical reasoning', 'mathematical computation', 'graph interpretation', 'table interpretation', 'evaluating arguments', 'scenario analysis', 'adaptive assessment', 'all job levels', 'all roles']"
Verify - General Ability Screen,https://www.shl.com/solutions/products/product-catalog/view/verify-general-ability-screen/,Yes,Yes,A,"The General Ability Screen is a first for us – a measure of general mental ability or ‘g’ .
Targeted at ‘entry-level’ roles, General Ability Screen is intended to precede other measures to provide process efficiency, and to ensure candidates experience the most positive possible assessment process, by being quick, fair and available as an online test 24/7/365. 
As the name suggests, the test is designed to be used in screening or sifting processes","Entry-Level,",Approximate Completion Time in minutes = 10,"['General Mental Ability', 'Entry-Level', 'Screening', 'Sifting', 'Online Test', 'Cognitive Ability', 'g factor', 'Process Efficiency', 'Aptitude', 'Reasoning']"
Verify - Inductive Reasoning (2014),https://www.shl.com/solutions/products/product-catalog/view/verify-inductive-reasoning-2014/,Yes,Yes,A,"Inductive Reasoning is a test used for job candidates applying to jobs at all levels that require logical reasoning ability. Sample tasks for jobs that may require inductive reasoning include, but are not limited to dealing with new concepts and approaches, answering questions of ‘why’ and ‘how’ and resolving complex and ambiguous problems. Potential job titles that use this ability are Senior Sales, Product/Service Development, Research and Development.","Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level,",Approximate Completion Time in minutes = 24,"['Inductive Reasoning', 'Logical Reasoning', 'Abstract Reasoning', 'Problem Solving', 'Analytical Skills', 'Entry-Level', 'Mid-Level', 'Senior-Level', 'Sales', 'Product Development', 'Service Development', 'Research and Development', 'Critical Thinking', 'Complex Problems', 'Ambiguous Problems', 'New Concepts', 'New Approaches']"
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Yes,Yes,A,"The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the Global Cognitive Index – Adaptive Quantitative test, and measures the ability to:
•	Derive the numerical problem from a written problem
•	Calculate the answer to numerical equations
•	Work with numerical data in a realistic workplace context

The test is 20 minutes long, has 16 items and is designed to provide an indication of how an individual will perform when asked to work with numerical information or statistical details.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 20,"['Numerical Ability', 'Numerical Reasoning', 'Quantitative Skills', 'Data Interpretation', 'Mathematical Skills', 'Problem Solving', 'Workplace Context', '20 minutes', '16 items', 'Statistical Details', 'Cognitive Ability', 'Adaptive Testing', 'Entry-Level', 'Numerical Data']"
Verify - Technical Checking - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,Yes,,A,"The Technical Checking assessment is part of the Verify suite of cognitive ability assessments. Technical Checking measures perceptual speed and accuracy. This assessment requires examinees to quickly and accurately match symbols and switches based on a given set of rules. The Technical Checking assessment is mostly non-verbal and features shapes and figures. As with all assessments included in the Verify suite, the Technical Checking assessment allows organizations to assess this aspect of cognitive ability in an unproctored setting. This assessment is appropriate for all job levels and job titles, but is especially relevant for jobs that require the ability to quickly assess the accuracy of information against a set of rules.","Entry-Level,",Approximate Completion Time in minutes = 5,"['cognitive ability', 'perceptual speed', 'accuracy', 'attention to detail', 'rule-based assessment', 'non-verbal assessment', 'symbol matching', 'aptitude', 'all job levels', 'unproctored', 'technical aptitude', 'information accuracy']"
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,Yes,Yes,A,"The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and predict author responses. Sample tasks for jobs that may require verbal ability include, but are not limited to: working with reports, correspondence, instructions, and research information. The Verbal Ability test, due to its adaptive nature, is appropriate for all job levels and roles.","General Population, Graduate, Executive, Director, Entry-Level, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager,",Approximate Completion Time in minutes = 15 minutes,"['Verbal Ability', 'Reading Comprehension', 'Text Interpretation', 'Author Intent', 'Main Idea Identification', 'Written Communication', 'Report Analysis', 'Correspondence Analysis', 'Instruction Interpretation', 'Research Information', 'Adaptive Assessment', 'All Job Levels', 'All Roles']"
Verify - Working with Information,https://www.shl.com/solutions/products/product-catalog/view/verify-working-with-information/,Yes,,A,This test measures a candidate's ability to process information. Candidates are given information in different table formats and are asked to use the information provided to answer related questions.,"Entry-Level,",Approximate Completion Time in minutes = 10,"['information processing', 'data interpretation', 'data analysis', 'table comprehension', 'reading comprehension', 'critical thinking', 'attention to detail', 'logical reasoning', 'aptitude', 'cognitive ability']"
Verify G+ - Ability Test Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-ability-test-report/,Yes,,A,"The SHL Verify G+ Ability Test Report provides the candidate's overall General Ability score alongside scores on Numerical, Deductive and Inductive Reasoning, using the comparison group selected by the user.",,,"['General cognitive ability', 'Numerical Reasoning', 'Deductive Reasoning', 'Inductive Reasoning', 'Aptitude Test', 'SHL Verify G+', 'Cognitive Assessment']"
Verify G+ - Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-candidate-report/,Yes,,A,"The SHL Verify G+ Ability Candidate Report provides the candidate with feedback on their Numerical, Deductive and Inductive Reasoning results. It does not include the overall score, as it is intended for feedback and developmental purposes. The report focuses on how the candidate can improve their abilities in each area (deductive, inductive, and numerical). Please note: language availability for the G+ Candidate Report is currently more limited than for the manger-facing G+ Ability Report.",,,"['Numerical Reasoning', 'Deductive Reasoning', 'Inductive Reasoning', 'Ability Assessment', 'Candidate Feedback', 'Developmental Assessment', 'G+ Ability', 'SHL Verify G+', 'Report', 'Cognitive Ability', 'Abstract Reasoning']"
Verify Interactive Ability Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-ability-report/,Yes,,A,Verify Interactive Ability Report,,,"['interactive ability', 'report']"
Verify Interactive G+ Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-candidate-report/,Yes,,A,Verify Interactive G+ Candidate Report,,,[]
Verify Interactive G+ Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-report/,Yes,,A,Report for Verify Interactive G+,"Graduate, Manager, Mid-Professional, Professional Individual Contributor,",,"['Verify Interactive G+', 'Reporting', 'Data Analysis', 'G Suite', 'Google Plus']"
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,Yes,,K,"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Manual Testing', 'Software Testing Life Cycle (STLC)', 'Testing Tools', 'Test Techniques', 'Test Case Design', 'Test Reporting', 'Quality Assurance', 'QA Engineer', 'Multi-choice', 'Fundamentals']"
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,,AP,"The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie successful and safe performance in an 
industrial/manufacturing setting. This solution assesses process monitoring, mechanical 
comprehension and other foundational behaviors including behaving safely in the workplace; 
applying domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, Maintenance/Repair Workers, Surveillance, and Quality Assurance 
Workers.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 49,"['Manufacturing', 'Industrial', 'Mechanical Comprehension', 'Vigilance', 'Process Monitoring', 'Safety', 'Safe Work Practices', 'Practical Solutions', 'Multi-tasking', 'Machine Operators', 'Equipment Operators', 'Assemblers', 'Fitters', 'Maintenance Workers', 'Repair Workers', 'Surveillance', 'Quality Assurance', 'Job-Focused Assessment']"
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,,P,"The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational behaviors including behaving safely in the workplace; complying with 
rules and regulations; applying domain-related expertise; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Laborers/Warehouse Workers, Assemblers & Fitters, Maintenance/Repair Workers, 
Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship 
Loaders","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 16,"['Manufacturing', 'Industrial', 'Safety', 'Dependability', 'Workplace Safety', 'Compliance', 'Rules and Regulations', 'Domain Expertise', 'Multi-tasking', 'Machine Operators', 'Equipment Operators', 'Warehouse Workers', 'Laborers', 'Assemblers', 'Fitters', 'Maintenance Workers', 'Repair Workers', 'Dispatchers', 'Surveillance', 'Quality Assurance', 'Material Handlers', 'Truck Loaders', 'Ship Loaders', 'Behavioral Assessment', 'Job-Focused Assessment']"
